Store_Number,Name,Address,City,State,Zip,County,Shield_Project_No,AI_Number,Latitude,Longitude,Route_Number,Route_Group,Route_Order,Round_Trip_Base,Geocode_Match,Geocode_Source,Geocode_Quality,Routing_Method,Google_Maps_Stop,Google_Maps_Coordinate,Google_Maps_Route,Notes
630,Speaks Marathon SPE001,1900 Newtown Pike,Lexington,KY,40511,Fayette,,1035,38.095554515104,-84.486268477911,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,1,"Lexington, KY","1900 NEWTOWN PIKE, LEXINGTON, KY, 40511",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.095554515104%2C-84.486268477911,https://www.google.com/maps/search/?api=1&query=38.095554515104%2C-84.486268477911,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",No previous Phase I
84,Connector Rd,480 Connector Rd,Georgetown,KY,40324,Scott,125-1390,58082,38.231091196337,-84.535236638363,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,2,"Lexington, KY","480 CONNECTOR RD, GEORGETOWN, KY, 40324",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.231091196337%2C-84.535236638363,https://www.google.com/maps/search/?api=1&query=38.231091196337%2C-84.535236638363,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
82,Georgetown,381 Cherry Blossom Way,Georgetown,KY,40324,Scott,125-1390,166842,38.275301338024,-84.55490272128,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,3,"Lexington, KY","381 CHERRY BLOSSOM WAY, GEORGETOWN, KY, 40324",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.275301338024%2C-84.554902721280,https://www.google.com/maps/search/?api=1&query=38.275301338024%2C-84.554902721280,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
83,Georgetown,2001 Paris Pike,Georgetown,KY,40324,Scott,125-1390,58051,38.214590499843,-84.54014981542,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,4,"Lexington, KY","2001 PARIS PIKE, GEORGETOWN, KY, 40324",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.214590499843%2C-84.540149815420,https://www.google.com/maps/search/?api=1&query=38.214590499843%2C-84.540149815420,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
85,Canewood,100 Canewood Ctr Dr,Georgetown,KY,40324,Scott,125-1390,58082,38.20878896386,-84.594553294954,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,5,"Lexington, KY","100 CANEWOOD CENTER DR, GEORGETOWN, KY, 40324",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.208788963860%2C-84.594553294954,https://www.google.com/maps/search/?api=1&query=38.208788963860%2C-84.594553294954,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
77,Midway,300 Lacefield St,Midway,KY,40347,Woodford,125-1390,175764,38.162024093287,-84.676410982831,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,6,"Lexington, KY","300 LACEFIELD ST, MIDWAY, KY, 40347",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.162024093287%2C-84.676410982831,https://www.google.com/maps/search/?api=1&query=38.162024093287%2C-84.676410982831,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
88,Frankfort,100 Isaac Shelby Cir W,Frankfort,KY,40601,Franklin,125-1390,174632,38.187688429852,-84.810980108947,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,7,"Lexington, KY","100 ISAAC SHELBY CIR W, FRANKFORT, KY, 40601",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.187688429852%2C-84.810980108947,https://www.google.com/maps/search/?api=1&query=38.187688429852%2C-84.810980108947,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
86,Versailles,3590 Lexington Rd,Versailles,KY,40383,Woodford,125-1390,57519,38.04472816808,-84.663965360438,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,8,"Lexington, KY","3590 LEXINGTON RD, VERSAILLES, KY, 40383",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.044728168080%2C-84.663965360438,https://www.google.com/maps/search/?api=1&query=38.044728168080%2C-84.663965360438,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
53,Clays Mill Rd,3334 Clays Mill Road,Lexington,KY,40503,Fayette,125-1390,62191,37.996863197986,-84.548270113657,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,9,"Lexington, KY","3334 CLAYS MILL RD, LEXINGTON, KY, 40503",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=37.996863197986%2C-84.548270113657,https://www.google.com/maps/search/?api=1&query=37.996863197986%2C-84.548270113657,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
78,Bethel,100 Bethel Harvest Drive,Nicholsville,KY,40356,Jessamine,125-1390,175133,37.948611,-84.541944,1,Lexington Road Run 1: KY · Speaks Marathon SPE001 to Bethel,10,"Lexington, KY","Clarks Pump N Shop #78, 100 Bethel Harvest Way, Nicholasville",KY TEMPO Agency Interests,AI geometry,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=37.948611000000%2C-84.541944000000,https://www.google.com/maps/search/?api=1&query=37.948611000000%2C-84.541944000000,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=38.095554515104,-84.486268477911|38.231091196337,-84.535236638363|38.275301338024,-84.554902721280|38.214590499843,-84.540149815420|38.208788963860,-84.594553294954|38.162024093287,-84.676410982831|38.187688429852,-84.810980108947|38.044728168080,-84.663965360438|37.996863197986,-84.548270113657|37.948611000000,-84.541944000000",
41,Piketon,833 Beaver Creek Rd,Piketon,OH,45661,Pike,125-1390,,39.052316984237,-82.993719639181,2,Lexington Road Run 2: KY/OH · Piketon to North Broadway,1,"Lexington, KY","833 E BEAVER CREEK RD, PIKETON, OH, 45661",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=39.052316984237%2C-82.993719639181,https://www.google.com/maps/search/?api=1&query=39.052316984237%2C-82.993719639181,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=39.052316984237,-82.993719639181|39.130347338190,-82.980519890875|38.740186694551,-82.964136887993|38.542704717141,-83.345220628916|38.591500000000,-83.326361000000|38.421082757408,-83.732379403989|38.420753431938,-83.760384171910|38.075151859626,-84.457642913927",
39,Waverly,506 E Emmitt,Waverly,OH,45690,Pike,125-1390,,39.13034733819,-82.980519890875,2,Lexington Road Run 2: KY/OH · Piketon to North Broadway,2,"Lexington, KY","506 E EMMITT AVE, WAVERLY, OH, 45690",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=39.130347338190%2C-82.980519890875,https://www.google.com/maps/search/?api=1&query=39.130347338190%2C-82.980519890875,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=39.052316984237,-82.993719639181|39.130347338190,-82.980519890875|38.740186694551,-82.964136887993|38.542704717141,-83.345220628916|38.591500000000,-83.326361000000|38.421082757408,-83.732379403989|38.420753431938,-83.760384171910|38.075151859626,-84.457642913927",
55,Portsmouth,2626 Gallia St,Portsmouth,OH,45662,Scioto,125-1390,,38.740186694551,-82.964136887993,2,Lexington Road Run 2: KY/OH · Piketon to North Broadway,3,"Lexington, KY","2626 GALLIA ST, PORTSMOUTH, OH, 45662",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.740186694551%2C-82.964136887993,https://www.google.com/maps/search/?api=1&query=38.740186694551%2C-82.964136887993,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=39.052316984237,-82.993719639181|39.130347338190,-82.980519890875|38.740186694551,-82.964136887993|38.542704717141,-83.345220628916|38.591500000000,-83.326361000000|38.421082757408,-83.732379403989|38.420753431938,-83.760384171910|38.075151859626,-84.457642913927",
BP58,Vanceburg,241 Clarksburg Road,Vanceburg,KY,41179,Lewis,125-1390,2698,38.542704717141,-83.345220628916,2,Lexington Road Run 2: KY/OH · Piketon to North Broadway,4,"Lexington, KY","241 CLARKSBURG BR RD, VANCEBURG, KY, 41179",US Census geocoder,matched,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.542704717141%2C-83.345220628916,https://www.google.com/maps/search/?api=1&query=38.542704717141%2C-83.345220628916,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=39.052316984237,-82.993719639181|39.130347338190,-82.980519890875|38.740186694551,-82.964136887993|38.542704717141,-83.345220628916|38.591500000000,-83.326361000000|38.421082757408,-83.732379403989|38.420753431938,-83.760384171910|38.075151859626,-84.457642913927",
47,Vanceburg,67 Commercial Drive,Vanceburg,KY,41179,Lewis,125-1390,59879,38.5915,-83.326361,2,Lexington Road Run 2: KY/OH · Piketon to North Broadway,5,"Lexington, KY","Bee Mart Express, 67 Commercial Dr, Vanceburg",KY TEMPO Agency Interests,AI geometry,Road-distance optimized using OSRM road network,https://www.google.com/maps/search/?api=1&query=38.591500000000%2C-83.326361000000,https://www.google.com/maps/search/?api=1&query=38.591500000000%2C-83.326361000000,"https://www.google.com/maps/dir/?api=1&origin=Lexington%2C+KY&destination=Lexington%2C+KY&travelmode=driving&waypoints=39.052316984237,-82.993719639181|39.130347338190,-82.980519890875|38.740186694551,-82.964136887993|38.542704717141,-83.345220628916|38.591500000000,-83.326361000000|38.421082757408,-83.732379403989|38.420753431938,-83.760384171910|38.075151859626,-84.457642913927",
